s,Cleaning Solutions
q,Cleaning solutions and disinfectants are used according to manufacturer’s instructions
q,"Ready-to-use products are used or fresh cleaning solution is prepared, dated and discarded according to the manufacturer’s instructions"
q,"When in-house solutions are discarded, the containers and dispensinc mechanisms are cleaned and dried"
q,Liquid products are not topped up
q,All materials and containers are labelled appropriately
q,"If chemicals are decanted into smaller bottles, they are labelled appropriately"
q,Non-disposable cleaning cloths and mop heads (e.g. microfibre) are laundered after each use and stored dry
q,Disinfectants have a Drug Identification Number (DIN) from Health Canada
q,"Prior to disinfection, all visibly soiled surfaces are cleaned appropriately"
q,Cleaning clothes are not double-dipped into cleaning solution
s,Surfaces
q,Dental surfaces and countertops not protected by barriers are cleaned and disinfected between each patient using a low-level disinfectant (LLD)
q,"Sufficient contact time (i.e. ""wet time"") is allowed for disinfecting"
q,"If a surface has been visibly soiled with blood, a low-level disinfectant is used"
q,"Housekeeping surfaces (floors, walls, sinks) are regularly cleaned using a low-level disinfectant"
q,"Walls, blinds, and window curtains are cleaned when visibly dusty or soiled"
,Waste/Linen
q,Reusable linen is laundered between patient use
q,Soiled linen is contained in leak-proof bags
q,Waste and linen containers are not over-filled
q,Appropriate disposal of general medical waste (i.e. ordinary waste)
q,Appropriate disposal of regulated medical waste (i.e. according to local regulations)
q,Waste containers are covered in storage areas
h,Waterlines and Water Quality
q,Monitoring and records are maintained for dental equipment and water quality
q,Coolant/Irrigant water for non-surgical procedures contains <= 500 CFU/ml (recommendation)
q,Sterile coolant/irrigant solutions used during surgical procedures
q,Manufacturer's instructions for water quality are available and followed
q,Manufacturer's instructions for anti-retraction valve maintenance are available and followed
h,Dental Devices
q,"Waterlines are turned on and flushed for at least 2-3 minutes at the beginning of the day, with handpieces disconnected"
q,"Dental devices that enter the mouth and are connected to the dental air/water system (including handpieces, air/water syringes, sonic/ultrasonic scalers, etc.) are flushed for 20- 30 seconds before removal for reprocessing"
q,Sterile water is available and delivered from a source separate from the dental unit
q,"Handpieces that can be removed from the air and waterlines are cleaned, lubricated and sterilized between patients"
q,Handpieces that can be removed from the air and waterlines are maintained according to the manufacturer’s instructions
q,Suction lines are purged between patients by aspirating water or an appropriate cleaning solution
q,"At least once per week, suction lines are flushed out with an enzymatic cleaner or appropriate cleaning solution"
q,Respiratory assist equipment is cleaned and high-level disinfected between patient use
h,Other
q,"Materials, impressions and intra-oral appliances are cleaned and disinfected prior to being sent to an off-site laboratory"
q,All items returned from an outside laboratory to a dental office are cleaned and disinfected prior to placing in a patient’s mouth 
q,On-site laboratories have a separate receiving area for contaminated items.
q,"Laboratory equipment that becomes contaminated is cleaned and disinfected between patients (e.g., articulators, case pans, rubber bowls, spatulas, lathes, pressure pots, water baths)"
