"q","Posters are wipeable (i.e. laminated)"
"q","Surface barriers are replaced/removed with procedures to prevent contamination"
"s","Devices"
"q","Permanent devices (i.e. high volume suction, saliva ejectors, air/water syringes) are cleaned and covered between patient use"
"q","Contaminated permanent devices are disinfected between patient use"
"q","The operatory is inspected and cleaned/disinfected when necessary between patients"
"h","Environmental Cleaning and Disinfection"
"s","Cleaning Solutions"
"q","Cleaning solutions and disinfectants are used according to manufacturer’s instructions"
"q","Ready-to-use products are used or fresh cleaning solution is prepared, dated and discarded according to the manufacturer’s instructions"
"q","When in-house solutions are discarded, the containers and dispensinc mechanisms are cleaned and dried"
"q","Liquid products are not topped up"
"q","All materials and containers are labelled appropriately"
"q","If chemicals are decanted into smaller bottles, they are labelled appropriately"
"q","Non-disposable cleaning cloths and mop heads (e.g. microfibre) are laundered after each use and stored dry"
"q","Disinfectants have a Drug Identification Number (DIN) from Health Canada"
"q","Prior to disinfection, all visibly soiled surfaces are cleaned appropriately"
"q","Cleaning clothes are not double-dipped into cleaning solution"
"s","Surfaces"
"q","Dental surfaces and countertops not protected by barriers are cleaned and disinfected between each patient using a low-level disinfectant (LLD)"
"q","Sufficient contact time (i.e. ""wet time"") is allowed for disinfecting"
"q","If a surface has been visibly soiled with blood, a low-level disinfectant is used"
"q","Housekeeping surfaces (floors, walls, sinks) are regularly cleaned using a low-level disinfectant"
"q","Walls, blinds, and window curtains are cleaned when visibly dusty or soiled"
"s","Waste/Linen"
"q","Reusable linen is laundered between patient use"
"q","Soiled linen is contained in leak-proof bags"
"q","Waste and linen containers are not over-filled"
"q","Appropriate disposal of general medical waste (i.e. ordinary waste)"
"q","Appropriate disposal of regulated medical waste (i.e. according to local regulations)"
"q","Waste containers are covered in storage areas"
"h","Waterlines and Water Quality"
"q","Monitoring and records are maintained for dental equipment and water quality"
"q","Coolant/Irrigant water for non-surgical procedures contains <= 500 CFU/ml (recommendation)"
"q","Sterile coolant/irrigant solutions used during surgical procedures"
"q","Manufacturer's instructions for water quality are available and followed"
"q","Manufacturer's instructions for anti-retraction valve maintenance are available and followed"
"h","Dental Devices"
"q","Waterlines are turned on and flushed for at least 2-3 minutes at the beginning of the day, with handpieces disconnected"
"q","Dental devices that enter the mouth and are connected to the dental air/water system (including handpieces, air/water syringes, sonic/ultrasonic scalers, etc.) are flushed for 20- 30 seconds before removal for reprocessing"
"q","Sterile water is available and delivered from a source separate from the dental unit"
"q","Handpieces that can be removed from the air and waterlines are cleaned, lubricated and sterilized between patients"
"q","Handpieces that can be removed from the air and waterlines are maintained according to the manufacturer’s instructions"
"q","Suction lines are purged between patients by aspirating water or an appropriate cleaning solution"
"q","At least once per week, suction lines are flushed out with an enzymatic cleaner or appropriate cleaning solution"
"q","Respiratory assist equipment is cleaned and high-level disinfected between patient use"
"h","Other"
"q","Materials, impressions and intra-oral appliances are cleaned and disinfected prior to being sent to an off-site laboratory"
"q","All items returned from an outside laboratory to a dental office are cleaned and disinfected prior to placing in a patient’s mouth "
"q","On-site laboratories have a separate receiving area for contaminated items."
"q","Laboratory equipment that becomes contaminated is cleaned and disinfected between patients (e.g., articulators, case pans, rubber bowls, spatulas, lathes, pressure pots, water baths)"
"h","Reprocessing"
"s","Policies"
"q","There are written policies and procedures for all aspects of reprocessing that are based on current recognized standards (e.g., Canadian Standards Association - CSA) "
"q","Reprocessing policies and procedures are reviewed at least annually by the department "
"q","There are written instructions for disassembly, sorting and soaking, cleaning, rinsing, drying, inspecting, packaging and sterilizing each item to be reprocessed, that include pictures for dental health care personnel (DHCP) to follow, for each item to be sterilized "
"q","There is a policy that requires scheduled maintenance of equipment, with written documentation that this has occurred (e.g., logbook) "
"q","Written manuals for all reprocessing equipment are readily available "
"q","installation and preventive maintenance of reprocessing equipment "
"q","qualifications and training of DHCP involved in reprocessing "
"q","ongoing audits with documentation of competency of DHCP involved in reprocessing "
"q","processes to monitor and document the reprocessing process, including routine daily operations "
"q","There is a policy and procedure for placement of implants (e.g., bone) in the dental setting, if applicable "
"q","There is a protocol for failed biological indicators (BI) "
"q","There is a policy prohibiting the reuse of single-use devices unless reprocessed by an approved and FDA cleared 3rd party reprocessor "
"q","DHCP have been screened for immunity to hepatitis B and offered vaccination if warranted "
"q","DHCP assigned to reprocess dental devices have completed a recognized qualification/ certificate course, or are certified by an accredited body, in reprocessing "
"s","Reprocessing DHCP receive: "
"q","education and training on hire "
"q","supervision until competency is demonstrated and documented "
"q","annual competency testing "
"q","education and training on any authorized "
"q","change in process "
"q","education and training when new dental devices are purchased that require reprocessing "
"s","DHCP receive annual infection prevention and control (IPAC) education that includes: "
"q","hand hygiene with soap and water and alcohol-based hand rub (ABHR) "
"q","correct and consistent use of Routine Practices (RP) "
"q","appropriate use of personal protective equipment (PPE) "
"q","prevention of blood and body fluid exposure, including sharps safety and waste handling "
"q","management of accidental exposure to blood/ body fluids "
"q","principles of basic reprocessing techniques that minimize cross- contamination, such as one-way work flow progressing from least soiled to most soiled "
"q","All DHCP training and education is documented "
"q","All DHCP training and education is evaluated "
"h","General Procedures"
"q","Devices are cleaned in a designated area that is physically separate from direct care areas and from where clean, disinfected or sterile items are handled or stored (e.g., separate room, divided room) "
"q","There is a one-way work flow from dirty to clean to prevent cross-contamination "
"q","Eye wash facilities are available wherever reprocessing is done "
"s","Chemical products used for disinfection/sterilization: "
"q","have a drug identification number (DIN) from Health Canada "
"q","are prepared and used according to the manufacturer’s instructions for dilution, temperature, water hardness, use, shelf life and storage conditions "
"q","have WHMIS information and a Materials Safety Data Sheet (MSDS) readily available "
"q","are properly labelled with the expiry date "
"q","are stored in a manner that reduces the risk of contamination, inhalation, skin contact or personal injury "
"q","Chemical products are compatible with both the reprocessing equipment and the devices being reprocessed, according to manufacturer’s instructions "
"q","Manufacturer’s written instructions for operating equipment are followed (e.g., sterilizers, ultrasonic cleaners) "
"q","Manufacturer’s written instructions for reprocessing are followed for each device (e.g., assembly, disassembly, lubrication, wrapping) "
"q","Single-use dental devices are not reprocessed. Some examples include disposable air/water syringe tips, disposable prophylaxis angles, high-volume evacuator tips, saliva ejectors, prophylaxis cups and brushes, etc. "
"h","Transportation and Handling of Contaminated Equipment"
"q","Disposable sharps are removed and disposed of in an appropriate puncture- resistant sharps container at point-of-use, prior to transport "
"q","Gross soil on devices is removed at point-of- use prior to transport "
"q","Used items must be collected in a puncture- resistant and leak-proof container/trolley with a lid or liner capable of being closed "
"q","Containers for transporting soiled items should be made of metal or plastic and be capable of being easily cleaned "
"q","Contaminated dental devices are transported in a manner that reduces the risk of exposure and injury during transport to the device reprocessing area "
"q","Appropriate PPE (puncture-resistant gloves, gowns/aprons, eye and face protection) is worn when handling contaminated devices "
"q","A process is in place that ensures reprocessed devices can be differentiated from devices which have not been reprocessed "
"q","Sterile and clean supplies are transported in clean containers or covered carts to protect the integrity of sterile packages "
"h","Pre-Cleaning Contaminated Dental Devices"
"q","A sink for cleaning dental devices is located in a dedicated decontamination area "
"q","Dirty devices are kept separate from clean devices "
"q","Immediately after use, device is immersed in an appropriately diluted cleaning solution (e.g., enzymatic cleaner) to avoid drying of secretions or body fluids; or treated with an agent that prevents hardening of bioburden "
"q","Device is disassembled, if applicable, according to manufacturer’s instructions "
"h","Cleaning Dental Devices"
"q","Device is cleaned manually with an enzymatic solution, in an ultrasonic cleaner, or in an automated instrument washer "
"s","When performing manual cleaning: "
"q","items are cleaned using an instrument detergent or enzymatic cleaner "
"q","cleaning solutions are used according to the manufacturer’s instructions "
"q","appropriate PPE is worn for device cleaning (moisture-impervious gown, heavy duty utility gloves, mask and eye protection with side shields) "
"q","device cleaning takes place under the surface of the water (i.e., not running water) "
"q","appropriate PPE is worn for device cleaning (moisture-impervious gown, heavy duty utility gloves, mask and eye protection with side shields) "
"q","Device is rinsed with clean, fresh tap water, or distilled water if water hardness is a factor "
"q","Devices with lumens are: "
"q","cleaned according to manufacturer’s instructions "
"q","manually flushed with enzymatic cleaner rinsed "
"q","inspected to ensure lumens are clean and unobstructed "
"s","Special cleaning equipment (e.g., sponges, brushes), if used, is: "
"q"," disposable, or thoroughly cleaned and disinfected with a high-level disinfectant  or sterilized between uses "
"q","of an approved material that will not damage the device "
"s","If an ultrasonic cleaner is used: "
"q","cleaning solution is changed at least daily, or when visibly soiled "
"q","device is manually cleaned prior to ultrasonic cleaning "
"q","device is thoroughly rinsed after ultrasonic cleaning "
"q","it is operated with the lid closed "
"q","it is tested for efficacy at least weekly or according to manufacturer's recommendations (e.g., ‘foil test’ – see Glossary) "
"q","there is documented preventive maintenance and performance monitoring of the ultrasonic cleaner "
"q","Device is dry prior to HLD or sterilization (e.g., dried with a lint-free cloth) "
"q","Detergent or enzymatic cleaning solution is discarded after each use "
"h","Inspection of Dental Devices"
"q","Device is inspected for any damage, operating ability, pitting, corrosion, etc. "
"q","There is a process for removing faulty devices until repaired or replaced "
"h","High Level Disinfection"
"q","Semi-critical devices are, at a minimum, high- level disinfected between each use "
"q","All disinfectants have a Drug Identification Number (DIN) from Health Canada "
"q","Devices receive HLD according to the device and disinfectant manufacturer’s instructions (e.g., temperature, time, concentration) "
"q","The minimum effective concentration of disinfectant is monitored daily before first use with test strips available from the disinfectant product manufacturer "
"q","High-level disinfectant test strips specific to the product are checked for efficacy when each bottle is opened "
"q","Disinfectant test strip bottles are dated when opened and discarded as per the manufacturer’s instructions "
"q","Disinfectant test strips are stored in their original containers "
"s","A log is kept of devices that receive HLD including: "
"q","date and time of HLD"
"q","length of contact time with disinfectant "
"q","person responsible for checking and recording the information "
"q","A written log of disinfectant concentration monitoring is maintained "
"q","If an automated reprocessor is used, there is a documented preventive maintenance program "
"q","If chemical disinfection is performed, appropriate PPE is worn by DHCP who are performing decontamination and HLD (e.g., gloves, mask, eye protection) "
"s","If chemical disinfection is performed: "
"q","device is totally submerged in the disinfectant for the time specified by the disinfectant manufacturer "
"q","device is rinsed with at least three separate rinses with sterile or bacteria- free (e.g., achieved by submicron filtration) water "
"q","device is dried following disinfection "
"q","the disinfectant container is kept covered during use "
"q","he disinfectant container is washed, rinsed and dried when the solution is changed "
"q","there is no topping-up of disinfectant solution "
"h","Dental Devices Receiving Sterilization"
"q","Critical devices are sterilized between each re-use or are disposable "
"q","Handpieces that can be removed from the air and waterlines are cleaned, lubricated and sterilized between patients "
"q","Critical devices are sterilized by an approved sterilization process (e.g., dry heat, autoclave) for the device; Note: inappropriate methods include flash sterilization, glass bead sterilization, boiling water and microwave ovens "
"q","Device is packaged according to the device manufacturer’s instructions (e.g., devices are opened, disassembled) and is self-sealing or heat-sealed "
"q","Packaging is validated for the sterilization method "
"q","Internal and external pouch/pack chemical indicators (CI) are placed appropriately in and/ or on each package (if not part of the pouch/pack wrap) "
"s","Device packages are labelled with: "
"q","name of sterilizer "
"q","item(s) "
"q","date of sterilization "
"q","load number (if more than one sterilizer load is run per day) "
"q","operator’s initials "
"q","If more than one device is being sterilized in a pack and/or more than one pack is in the load, the pack is placed in the sterilizer according to the detailed steps recommended by the manufacturer "
"q","Device is placed in a steam sterilizer according to manufacturer's instructions (e.g., in the open position), oriented in a manner that will preserve sterility when opened "
"q","Sterilizer mechanical printout is checked and signed each cycle by the person responsible for releasing the load "
"q","Sterilizer is tested with a biological indicator (BI) each day and for each type of cycle the sterilizer is used "
"q","BIs are placed inside a process challenge device (PCD) "
"q","Records are kept to document that all sterilization parameters have been met (e.g., BIs, CIs, time/temperature/pressure readings) "
"q","A dental device is not used until the CI(s) is/are checked "
"q","Dental devices are not used until the BI is checked "
"q","There is documentation of the sterilizer's preventive maintenance program, including a regular cleaning schedule, according to manufacturer's instructions "
"q","There is a written procedure to follow in the event of a sterilization failure "
"q","Device packs are allowed to dry inside the sterilizer chamber before removal and handling "
"h","Storage of Reprocessed Dental Devices"
"q","There is a process for inventory management of sterile devices (e.g., event or time-related) "
"q","Sterile items are stored in their sterile packaging until time of use "
"q","Sterile items are only stored with other sterile items or clean supplies (e.g., pre-packaged items such as needles, syringes) "
"q","Sterile items are handled in a manner that prevents contamination of the item "
"q","Packaged, sterilized devices are stored securely in a manner that keeps them clean, dry and prevents contamination (e.g., drawer, upper cupboard) "
"q","Shelving, cupboards and drawers are in good repair and are made of non-porous material that can be disinfected "
"q","Stock is rotated so that the oldest stock is used first "
"s","Visual inspection by the auditor:"
"q","A processed package is randomly opened and visually inspected: "
"q","external indicators show that processing has taken place (e.g., tape, label) "
"q","there are no signs of compromise of packs (e.g., moisture, damage, incorrect wrap) "
"q","device is visually clean and free of pitting or corrosion (e.g., rust) "
"q","Compromised devices are re-cleaned, packaged in new wrap and re-sterilized "
